"user_hll","post_hll","pud_hll","latitude_4","longitude_4","emoji","latlng_geom"
"\x128b7fc5e204a97464e1b2","\x128b7f95ec5f41dbfbf5499ca603dacd1b49e6b7c7c8ba690867780fcb42e962c12a3a185bb942cf5c4cd01d6f03fda36d86372c4e39224f5143ce41d9d9bfb78b7e7173f46aae3687aa28","\x128b7fa36cd0494a572dfec18bbcf7382a7b74e8cf0c36436d598efc4407bc2b034242ff15a970bf5343ac1b71bf1acfc978082b1f18a0ff9180f2746cb645c0da72667e0cbc23d0392b00",43.857421875,12.83203125,"🤗","0101000020E6100000FB4A2025768D2940ABFE08C380F74540"
"\x128b7f878caaab1e2b2addbb697cb98ce0051f04811acd2cea81a27dbb2232c04a21527fc985eced731edb","\x128b7f987facb5a294c2fad869ea112444d666e2d1eada2d982643251e6e2b38a2c7e034bc03b319af6bdb3c677a88c7cf5ca54293dbdedb514c3d588dc2cacd6ca37262dc2494fedf7836","\x128b7fb955944d31630aabdab7f7b83d3f6faef3c5aef07e8adcec0b72476707a847b82917291829929f9d3144d4b1c65006497bdb4b57fe86030e",51.064453125,-4.04296875,"❤️","0101000020E61000005F268A90BA3510C03D95D39E928A4940"
"\x128b7f9e970d6aa12501bfa146b594c0d8408f","\x128b7fc2e373002eab93cb0d10e123de694e8d","\x128b7f07f4b4df099f3b5a682cb750ddcd02fe",39.462890625,-0.52734375,"🎇","0101000020E610000054E3A59BC420D8BF2497FF907EBB4340"
"\x128b7fa146b594c0d8408ff83ce6afd8a3919b","\x128b7f0091fb57fd2e4b180d10e123de694e8d","\x128b7f03445aa8937aef7107f4b4df099f3b5a",39.462890625,-0.52734375,"👋🏻","0101000020E610000054E3A59BC420D8BF2497FF907EBB4340"
"\x128b7f50c6c8e8a7b668d5","\x128b7f9d220a0e3fa01f03","\x128b7f2cfc4aa9ff48320c",55.634765625,-2.63671875,"😘","0101000020E6100000A7E8482EFFE105C0FF959526A5CC4B40"
"\x128b7fe581b25685c37178","\x128b7fbc85f9365dbda70c","\x128b7f37e4d1650a0c1525",41.044921875,29.00390625,"🎄","0101000020E61000004A79AD84EEFA3C40E9D500A5A1844440"
"\x128b7fd23f01a386692964","\x128b7f7ab5e0f98dfc5122","\x128b7f2e356dd5b98cd47a",53.349609375,-6.15234375,"😍","0101000020E61000007B6A16E43E0C19C097EA3C0970AB4A40"
"\x128b7fb82c38db185b2003","\x128b7f5e69961847c7e890","\x128b7f68a45c40045dfec4",51.591796875,-0.17578125,"😎","0101000020E6100000CB10C7BAB88DC0BF9E0C8E9257C14940"
"\x128b7f18c2b3f4c429fd71","\x128b7f2e9bbf9b7ad58692","\x128b7f0166e2aa6baee0bb",45.439453125,9.31640625,"💜","0101000020E6100000D6AD9E93DED722405D6DC5FEB2BF4640"
"\x128b7f18c2b3f4c429fd71","\x128b7f2e9bbf9b7ad58692","\x128b7f0166e2aa6baee0bb",45.439453125,9.31640625,"😘","0101000020E6100000D6AD9E93DED722405D6DC5FEB2BF4640"
"\x128b7fa146b594c0d8408f","\x128b7f0d10e123de694e8d","\x128b7f07f4b4df099f3b5a",39.462890625,-0.52734375,"🏙️","0101000020E610000054E3A59BC420D8BF2497FF907EBB4340"
"\x128b7f2adba4ba36688930","\x128b7fb108be8a495063cd","\x128b7f3c8a97c145b41550",48.955078125,2.28515625,"🦹‍♀️","0101000020E6100000CFBF5DF6EB6E024002EE79FEB4734840"
"\x128b7fb82c38db185b2003","\x128b7f5e69961847c7e890","\x128b7f68a45c40045dfec4",51.591796875,-0.17578125,"📷","0101000020E6100000CB10C7BAB88DC0BF9E0C8E9257C14940"
"\x128b7f07aabdac267b6259","\x128b7faf7f0beea5749d1b","\x128b7f18a9899cd3bd7a39",45.439453125,10.37109375,"😘","0101000020E61000000F36C8663F052540493A7779C2BF4640"
"\x128b7f6df4b2031872f552","\x128b7fa592c4224b880fb1","\x128b7fbb82459497b23713",51.064453125,6.15234375,"🌶","0101000020E6100000E463778192921840200890A1638E4940"
"\x128b7f6df4b2031872f552","\x128b7fa592c4224b880fb1","\x128b7fbb82459497b23713",51.064453125,6.15234375,"🔥","0101000020E6100000E463778192921840200890A1638E4940"
"\x128b7f8f7c73a9301b52ea","\x128b7fee9c5341cbd262c8","\x128b7fe35e560f8da922db",53.701171875,-1.58203125,"😂","0101000020E6100000EBFD463B6E18FABF689604A8A9CE4A40"
"\x128b7f56c8d639e85159c5","\x128b7ff53e05c6cfe3beef","\x128b7f04f8e2474a526e7a",50.888671875,-1.23046875,"😊","0101000020E61000007B01CD527871F3BF39B37EAF786C4940"
"\x128b7fa55c697a94a0daa30d466a03bcfd6d3e","\x128b7f1cfd83445e77685024bf0d6c0d2ef7fe","\x128b7ffb69ee2ed4bcfb6603531bc9516b3561",53.349609375,-8.96484375,"❣","0101000020E6100000F0C000C2873622C054A52DAEF1AB4A40"
"\x128b7fd42ce671542107b50418ce779fc9c785","\x128b7fc2948a420e9946bbd42ce41fea74e9bc","\x128b7f184f22b3fe110efc66b12f5c68783b9a",51.943359375,4.39453125,"😒","0101000020E610000005103E946889114048E350BF0BF74940"
"\x128b7ff876adb29c3c9c304d673883a54563f6","\x128b7fdc8d30249b6e815d2450a866326dca52","\x128b7f0a4346b36eca215523bc63a4df0c935c",62.138671875,17.40234375,"🐱","0101000020E61000003B71395E81623140A7E33103950C4F40"
"\x128b7fe84271685a1ac7dd3b74272d15b419517137b6d5f1a1b572","\x128b7f8729ad090aa4beba8aabccd45c1eb9178c96d89764324dbfd667a60336d53eba184e847e1c558fa566dc767a4152903c7e8d9416a4ede484","\x128b7fa27ff5622ee9c3021a90dc68b52e466258a5ff292e51028d60064c695251b54f",55.810546875,-4.39453125,"🌱","0101000020E6100000F0A7C64B370911C0E7FBA9F1D2ED4B40"
"\x128b7fd45f1d20825eb8aa","\x128b7f67bd5311328d104e","\x128b7f133efb2a74641ae4",47.724609375,11.07421875,"🎉","0101000020E6100000BC79AA436EDA2540E2AAB2EF8AE74740"
