,Occurrence number,Emoji description,Typicality
😻,2565,:smiling_cat_with_heart-eyes:,-0.5590696036914788
🌻,1993,:sunflower:,-0.5641748307054105
💨,3050,:dashing_away:,-0.5666045916783291
🐱,2272,:cat_face:,-0.5681746752732633
🎊,1754,:confetti_ball:,-0.5699404072084057
🏡,1915,:house_with_garden:,-0.578308312020978
🏀,1207,:basketball:,-0.5833202617033201
🎙️,1500,:studio_microphone:,-0.5840956601463007
💻,1148,:laptop:,-0.5883092891938629
🏃‍♂️,3442,:man_running:,-0.5883566807802341
🎼,1685,:musical_score:,-0.5943800460455868
💓,3362,:beating_heart:,-0.5984339681008303
🌅,2097,:sunrise:,-0.6066931902703359
💐,2423,:bouquet:,-0.6067796883591262
😩,5155,:weary_face:,-0.610717884382527
😴,3445,:sleeping_face:,-0.6118587306998691
🎬,2967,:clapper_board:,-0.6143701591650915
🌼,2151,:blossom:,-0.614411740989637
😌,1762,:relieved_face:,-0.6150343940077396
🤤,2609,:drooling_face:,-0.616026466867593
🤟,1754,:love-you_gesture:,-0.6256730331767919
🤬,3660,:face_with_symbols_on_mouth:,-0.6293972935991183
🤯,3945,:exploding_head:,-0.6345482356604898
🎈,2066,:balloon:,-0.6353680519973379
🤓,2975,:nerd_face:,-0.6491419236595264
🎅,4541,:Santa_Claus:,-0.6492795690405937
🎧,3236,:headphone:,-0.6535943510547219
✔️,1583,:check_mark:,-0.6596930420572795
🍾,3857,:bottle_with_popping_cork:,-0.663123361840593
❣️,1373,:heart_exclamation:,-0.6639780573142167
🦅,1023,:eagle:,-0.6643565314377599
🌳,3336,:deciduous_tree:,-0.6667959826628675
⚠️,1534,:warning:,-0.6684641652084083
🌱,3465,:seedling:,-0.66901652035708
🍺,5790,:beer_mug:,-0.6705412277444163
📺,3422,:television:,-0.6725324620822246
🦠,2262,:microbe:,-0.6741141425260087
🎤,3442,:microphone:,-0.6774359088884985
🤷‍♀️,4661,:woman_shrugging:,-0.6774359088884985
⬇️,3187,:down_arrow:,-0.6786822253515944
💦,3116,:sweat_droplets:,-0.678941864422508
😈,2957,:smiling_face_with_horns:,-0.6819119806029081
🌺,1717,:hibiscus:,-0.6826459430189823
✈️,2638,:airplane:,-0.6870343502483717
📚,3588,:books:,-0.6883164373692926
💃,3704,:woman_dancing:,-0.6973641237252787
🚨,3637,:police_car_light:,-0.6986647413784354
🦋,1992,:butterfly:,-0.7001806393844129
🎁,3571,:wrapped_gift:,-0.7021534637629431
🎵,3478,:musical_note:,-0.7045405672922328
🍷,3625,:wine_glass:,-0.7059013476386128
🎂,4085,:birthday_cake:,-0.7071057814675971
🙃,2997,:upside-down_face:,-0.7212390463001164
😇,2457,:smiling_face_with_halo:,-0.7216296501586403
🤭,2659,:face_with_hand_over_mouth:,-0.723929165902717
🚀,2435,:rocket:,-0.7276922392581399
💗,4971,:growing_heart:,-0.7286427747714291
🌿,3169,:herb:,-0.729361574656618
🍻,6562,:clinking_beer_mugs:,-0.7392485406109008
🐾,8082,:paw_prints:,-0.7429041977092454
💞,2421,:revolving_hearts:,-0.7436598197804942
⚡,3098,:high_voltage:,-0.7439901550642822
⚫,4103,:black_circle:,-0.7482437683707331
🎥,4854,:movie_camera:,-0.7510827290782329
🌍,4030,:globe_showing_Europe-Africa:,-0.7539430596530582
🤞,8044,:crossed_fingers:,-0.7590982542399551
📍,1866,:round_pushpin:,-0.7658955473609096
😆,6471,:grinning_squinting_face:,-0.7678258983208606
🙎,5054,:person_pouting:,-0.7765871851766771
😄,4286,:grinning_face_with_smiling_eyes:,-0.7844517471933631
🌊,3169,:water_wave:,-0.7860636844713068
🌟,6111,:glowing_star:,-0.7884681742642943
🙂,5590,:slightly_smiling_face:,-0.7889675117107049
🥂,6330,:clinking_glasses:,-0.7901440426019891
😬,7398,:grimacing_face:,-0.7932501437290642
❄️,4748,:snowflake:,-0.7933457284984914
🤦‍♀️,5486,:woman_facepalming:,-0.7933934877477405
💫,4165,:dizzy:,-0.7938936303134233
😏,3317,:smirking_face:,-0.8005385143874327
🤷‍♂️,8024,:man_shrugging:,-0.8010600548505087
☔,2680,:umbrella_with_rain_drops:,-0.802989063188689
👋,6568,:waving_hand:,-0.8037782312301303
🧡,6920,:orange_heart:,-0.8044007486017883
⭐,5240,:star:,-0.8055283057394983
🌸,4262,:cherry_blossom:,-0.8100427349767806
😔,4340,:pensive_face:,-0.81022419391487
🤘,4997,:sign_of_the_horns:,-0.8110963806623294
👑,5372,:crown:,-0.8124044951179255
🤦‍♂️,7114,:man_facepalming:,-0.8125126873558378
🐶,9251,:dog_face:,-0.8229291649387419
📷,4529,:camera:,-0.8263261042223358
🤪,6096,:zany_face:,-0.827249008982507
🤍,5820,:white_heart:,-0.8274823661683661
💯,7334,:hundred_points:,-0.8275821835071309
‼️,2548,:double_exclamation_mark:,-0.8283436293172952
✊,6428,:raised_fist:,-0.8283601078015693
💔,6893,:broken_heart:,-0.8290166628066317
➡️,1979,:right_arrow:,-0.8290493587311356
☺️,5749,:smiling_face:,-0.8316013414616386
😳,9224,:flushed_face:,-0.8359507517174921
😃,7012,:grinning_face_with_big_eyes:,-0.8362587337303857
🔵,5820,:blue_circle:,-0.8373978940495587
🍀,3021,:four_leaf_clover:,-0.8374939552800679
💋,3929,:kiss_mark:,-0.8421564549078744
🏆,8131,:trophy:,-0.8432771392355654
😢,8523,:crying_face:,-0.8450831558262745
🥺,5438,:pleading_face:,-0.8503287496207055
😱,6924,:face_screaming_in_fear:,-0.8514726069919378
🌞,4917,:sun_with_face:,-0.852599113187877
🎄,9972,:Christmas_tree:,-0.8542215444736199
🌹,4316,:rose:,-0.8578774486680932
💥,6603,:collision:,-0.8584680790761455
😷,6287,:face_with_medical_mask:,-0.8594637251301982
💖,8389,:sparkling_heart:,-0.8631950145735451
😜,6227,:winking_face_with_tongue:,-0.8636436410271837
⚪,10056,:white_circle:,-0.865333075466517
☕,6096,:hot_beverage:,-0.8672231726547562
👊,11868,:oncoming_fist:,-0.8696242703054504
✅,7974,:check_mark_button:,-0.8702110368008817
🥳,11126,:partying_face:,-0.8743607085214635
🙈,9806,:see-no-evil_monkey:,-0.875224344392264
😋,8620,:face_savoring_food:,-0.8798122705588645
👀,15613,:eyes:,-0.8829516050518116
😀,11162,:grinning_face:,-0.8855660816646259
🌈,11657,:rainbow:,-0.8929453787365774
✌️,5987,:victory_hand:,-0.8941652209641854
🎉,11217,:party_popper:,-0.8942027954419495
👉,3724,:backhand_index_pointing_right:,-0.8956933315619372
🙄,13059,:face_with_rolling_eyes:,-0.8982719186941822
🎶,10112,:musical_notes:,-0.9008472060429196
🤗,8392,:smiling_face_with_open_hands:,-0.9040992943021319
📸,7900,:camera_with_flash:,-0.9060790693370251
😅,7652,:grinning_face_with_sweat:,-0.91082430139496
🤩,10688,:star-struck:,-0.9121648282063739
💕,15407,:two_hearts:,-0.9139735971405383
😘,9414,:face_blowing_a_kiss:,-0.9194080477324805
😭,15151,:loudly_crying_face:,-0.9240437240794812
♥️,9770,:heart_suit:,-0.9244577072044678
🖤,12370,:black_heart:,-0.9244816372262606
👇,15664,:backhand_index_pointing_down:,-0.9245565198830755
✨,11448,:sparkles:,-0.924682052444035
🙌,27403,:raising_hands:,-0.9311470749756988
⚽,22091,:soccer_ball:,-0.9316902803480085
💜,13100,:purple_heart:,-0.9324017861235897
💚,16214,:green_heart:,-0.9330723280168051
☀️,12512,:sun:,-0.9331524000063165
💛,13701,:yellow_heart:,-0.9356832764247179
👌,22503,:OK_hand:,-0.937353138276097
🤔,18471,:thinking_face:,-0.9389634984883659
😁,20259,:beaming_face_with_smiling_eyes:,-0.9426775641751421
😎,14733,:smiling_face_with_sunglasses:,-0.9480768765200798
🥰,21009,:smiling_face_with_hearts:,-0.9495571297617172
😉,16715,:winking_face:,-0.9522698142810717
😊,28297,:smiling_face_with_smiling_eyes:,-0.9566057627592396
🔥,23466,:fire:,-0.9578338146586078
🤣,40428,:rolling_on_the_floor_laughing:,-0.9641333034366545
💪,22400,:flexed_biceps:,-0.9659660653463205
💙,36186,:blue_heart:,-0.9664903806992324
👍,45363,:thumbs_up:,-0.9682129699986478
🙏,27674,:folded_hands:,-0.9687477450659653
👏,45067,:clapping_hands:,-0.9696325833582822
🔴,12490,:red_circle:,-0.9727122879442172
😍,43706,:smiling_face_with_heart-eyes:,-0.9778572369790884
😂,86604,:face_with_tears_of_joy:,-0.9845401956107402
❤️,82307,:red_heart:,-0.9884938284857309
