,Occurrence number,Emoji description,Typicality
💙,1081,:blue_heart:,0.11247048591377364
😍,1475,:smiling_face_with_heart-eyes:,-0.26489256364715663
😂,1639,:face_with_tears_of_joy:,-0.48675704290505895
❤️,2156,:red_heart:,-0.618011887852366
